item_name,singer,song_name,group_name,binary_role,mix_variant,mix_prob,fp_margin
English#EN-Alto-2#Pharyngeal#My Heart Will Go On#Pharyngeal_Group#0004,EN-Alto-2,My Heart Will Go On,Pharyngeal_Group,other_negative,non_mix,0.987407,0.587407
English#EN-Alto-2#Mixed_Voice_and_Falsetto#You Raise Me Up#Control_Group#0001,EN-Alto-2,You Raise Me Up,Control_Group,control_negative,non_mix,0.987381,0.587381
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Someone Like You#Control_Group#0004,EN-Alto-2,Someone Like You,Control_Group,control_negative,non_mix,0.987379,0.587379
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Someone Like You#Control_Group#0002,EN-Alto-2,Someone Like You,Control_Group,control_negative,non_mix,0.987365,0.587365
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Easy On Me#Falsetto_Group#0000,EN-Alto-2,Easy On Me,Falsetto_Group,falsetto_group,non_mix,0.987318,0.587318
English#EN-Alto-2#Pharyngeal#My Love#Pharyngeal_Group#0004,EN-Alto-2,My Love,Pharyngeal_Group,other_negative,non_mix,0.987291,0.587291
English#EN-Alto-2#Pharyngeal#My Heart Will Go On#Pharyngeal_Group#0001,EN-Alto-2,My Heart Will Go On,Pharyngeal_Group,other_negative,non_mix,0.987257,0.587257
English#EN-Alto-2#Mixed_Voice_and_Falsetto#What Are Words#Falsetto_Group#0005,EN-Alto-2,What Are Words,Falsetto_Group,falsetto_group,non_mix,0.987203,0.587203
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Dream It Possible#Falsetto_Group#0001,EN-Alto-2,Dream It Possible,Falsetto_Group,falsetto_group,non_mix,0.987188,0.587188
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Five Hundred Miles#Falsetto_Group#0000,EN-Alto-2,Five Hundred Miles,Falsetto_Group,falsetto_group,non_mix,0.986917,0.586917
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Love Me Like You Do#Falsetto_Group#0003,EN-Alto-2,Love Me Like You Do,Falsetto_Group,falsetto_group,non_mix,0.986786,0.586786
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Love Me Like You Do#Falsetto_Group#0006,EN-Alto-2,Love Me Like You Do,Falsetto_Group,falsetto_group,non_mix,0.986786,0.586786
English#EN-Alto-2#Vibrato#Easy On Me#Control_Group#0006,EN-Alto-2,Easy On Me,Control_Group,control_negative,non_mix,0.986716,0.586716
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Cry on My Shoulder#Control_Group#0004,EN-Alto-2,Cry on My Shoulder,Control_Group,control_negative,non_mix,0.986694,0.586694
English#EN-Alto-2#Pharyngeal#Yesterday Once More#Pharyngeal_Group#0001,EN-Alto-2,Yesterday Once More,Pharyngeal_Group,other_negative,non_mix,0.986597,0.586597
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Lemon Tree#Control_Group#0003,EN-Alto-2,Lemon Tree,Control_Group,control_negative,non_mix,0.986447,0.586447
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Someone Like You#Falsetto_Group#0002,EN-Alto-2,Someone Like You,Falsetto_Group,falsetto_group,non_mix,0.98644,0.58644
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Let Her Go#Control_Group#0003,EN-Alto-2,Let Her Go,Control_Group,control_negative,non_mix,0.986344,0.586344
English#EN-Alto-2#Vibrato#Easy On Me#Control_Group#0005,EN-Alto-2,Easy On Me,Control_Group,control_negative,non_mix,0.986323,0.586323
English#EN-Alto-2#Breathy#Easy On Me#Breathy_Group#0003,EN-Alto-2,Easy On Me,Breathy_Group,breathy_group,non_mix,0.986205,0.586205
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Hey Jude#Falsetto_Group#0004,EN-Alto-2,Hey Jude,Falsetto_Group,falsetto_group,non_mix,0.986138,0.586138
English#EN-Alto-2#Mixed_Voice_and_Falsetto#YOUTH#Falsetto_Group#0000,EN-Alto-2,YOUTH,Falsetto_Group,falsetto_group,non_mix,0.986076,0.586076
English#EN-Alto-2#Mixed_Voice_and_Falsetto#You Belong With Me#Falsetto_Group#0001,EN-Alto-2,You Belong With Me,Falsetto_Group,falsetto_group,non_mix,0.985847,0.585847
English#EN-Alto-2#Pharyngeal#My Heart Will Go On#Pharyngeal_Group#0002,EN-Alto-2,My Heart Will Go On,Pharyngeal_Group,other_negative,non_mix,0.985827,0.585827
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Lemon Tree#Falsetto_Group#0003,EN-Alto-2,Lemon Tree,Falsetto_Group,falsetto_group,non_mix,0.985659,0.585659
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Someone You Loved#Control_Group#0002,EN-Alto-2,Someone You Loved,Control_Group,control_negative,non_mix,0.985556,0.585556
English#EN-Alto-2#Mixed_Voice_and_Falsetto#The Show#Falsetto_Group#0000,EN-Alto-2,The Show,Falsetto_Group,falsetto_group,non_mix,0.985041,0.585041
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Try#Control_Group#0000,EN-Alto-2,Try,Control_Group,control_negative,non_mix,0.984727,0.584727
English#EN-Alto-2#Mixed_Voice_and_Falsetto#This Is Me#Control_Group#0003,EN-Alto-2,This Is Me,Control_Group,control_negative,non_mix,0.984659,0.584659
English#EN-Alto-2#Mixed_Voice_and_Falsetto#City Of Stars#Control_Group#0012,EN-Alto-2,City Of Stars,Control_Group,control_negative,non_mix,0.984604,0.584604
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Someone Like You#Control_Group#0010,EN-Alto-2,Someone Like You,Control_Group,control_negative,non_mix,0.984578,0.584578
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Five Hundred Miles#Falsetto_Group#0007,EN-Alto-2,Five Hundred Miles,Falsetto_Group,falsetto_group,non_mix,0.984553,0.584553
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Seasons of Love#Control_Group#0000,EN-Alto-2,Seasons of Love,Control_Group,control_negative,non_mix,0.984503,0.584503
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Easy On Me#Control_Group#0006,EN-Alto-2,Easy On Me,Control_Group,control_negative,non_mix,0.984478,0.584478
English#EN-Alto-2#Pharyngeal#Someone You Loved#Pharyngeal_Group#0005,EN-Alto-2,Someone You Loved,Pharyngeal_Group,other_negative,non_mix,0.984381,0.584381
English#EN-Alto-2#Mixed_Voice_and_Falsetto#God is A Girl#Falsetto_Group#0001,EN-Alto-2,God is A Girl,Falsetto_Group,falsetto_group,non_mix,0.984377,0.584377
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Lemon Tree#Falsetto_Group#0000,EN-Alto-2,Lemon Tree,Falsetto_Group,falsetto_group,non_mix,0.984268,0.584268
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Five Hundred Miles#Control_Group#0000,EN-Alto-2,Five Hundred Miles,Control_Group,control_negative,non_mix,0.984191,0.584191
English#EN-Alto-2#Mixed_Voice_and_Falsetto#City Of Stars#Control_Group#0001,EN-Alto-2,City Of Stars,Control_Group,control_negative,non_mix,0.984075,0.584075
English#EN-Alto-2#Pharyngeal#Someone You Loved#Pharyngeal_Group#0002,EN-Alto-2,Someone You Loved,Pharyngeal_Group,other_negative,non_mix,0.983979,0.583979
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Hello#Falsetto_Group#0004,EN-Alto-2,Hello,Falsetto_Group,falsetto_group,non_mix,0.983952,0.583952
English#EN-Alto-2#Breathy#Love Me Like You Do#Breathy_Group#0002,EN-Alto-2,Love Me Like You Do,Breathy_Group,breathy_group,non_mix,0.983897,0.583897
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Someone You Loved#Falsetto_Group#0001,EN-Alto-2,Someone You Loved,Falsetto_Group,falsetto_group,non_mix,0.983888,0.583888
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Someone Like You#Mixed_Voice_Group#0011,EN-Alto-2,Someone Like You,Mixed_Voice_Group,other_negative,non_mix,0.983683,0.583683
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Someone Like You#Falsetto_Group#0006,EN-Alto-2,Someone Like You,Falsetto_Group,falsetto_group,non_mix,0.983678,0.583678
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Love Me Like You Do#Control_Group#0007,EN-Alto-2,Love Me Like You Do,Control_Group,control_negative,non_mix,0.98362,0.58362
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Love Me Like You Do#Control_Group#0006,EN-Alto-2,Love Me Like You Do,Control_Group,control_negative,non_mix,0.983616,0.583616
English#EN-Alto-2#Mixed_Voice_and_Falsetto#A Thousand Years#Falsetto_Group#0000,EN-Alto-2,A Thousand Years,Falsetto_Group,falsetto_group,non_mix,0.983582,0.583582
English#EN-Alto-2#Mixed_Voice_and_Falsetto#My Heart Will Go On#Falsetto_Group#0008,EN-Alto-2,My Heart Will Go On,Falsetto_Group,falsetto_group,non_mix,0.983579,0.583579
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Young And Beautiful#Falsetto_Group#0005,EN-Alto-2,Young And Beautiful,Falsetto_Group,falsetto_group,non_mix,0.983496,0.583496
English#EN-Alto-2#Mixed_Voice_and_Falsetto#YOUTH#Control_Group#0003,EN-Alto-2,YOUTH,Control_Group,control_negative,non_mix,0.983422,0.583422
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Hey Jude#Control_Group#0008,EN-Alto-2,Hey Jude,Control_Group,control_negative,non_mix,0.983384,0.583384
English#EN-Alto-2#Mixed_Voice_and_Falsetto#A Thousand Years#Control_Group#0001,EN-Alto-2,A Thousand Years,Control_Group,control_negative,non_mix,0.983295,0.583295
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Try#Falsetto_Group#0003,EN-Alto-2,Try,Falsetto_Group,falsetto_group,non_mix,0.983294,0.583294
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Hello#Control_Group#0001,EN-Alto-2,Hello,Control_Group,control_negative,non_mix,0.983247,0.583247
English#EN-Alto-2#Mixed_Voice_and_Falsetto#This Is Me#Falsetto_Group#0003,EN-Alto-2,This Is Me,Falsetto_Group,falsetto_group,non_mix,0.983166,0.583166
English#EN-Alto-2#Pharyngeal#My Heart Will Go On#Pharyngeal_Group#0010,EN-Alto-2,My Heart Will Go On,Pharyngeal_Group,other_negative,non_mix,0.982968,0.582968
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Someone Like You#Falsetto_Group#0001,EN-Alto-2,Someone Like You,Falsetto_Group,falsetto_group,non_mix,0.98293,0.58293
English#EN-Alto-2#Pharyngeal#Yesterday Once More#Pharyngeal_Group#0004,EN-Alto-2,Yesterday Once More,Pharyngeal_Group,other_negative,non_mix,0.982674,0.582674
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Cry on My Shoulder#Falsetto_Group#0004,EN-Alto-2,Cry on My Shoulder,Falsetto_Group,falsetto_group,non_mix,0.98254,0.58254
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Lemon Tree#Falsetto_Group#0004,EN-Alto-2,Lemon Tree,Falsetto_Group,falsetto_group,non_mix,0.982416,0.582416
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Hello#Falsetto_Group#0008,EN-Alto-2,Hello,Falsetto_Group,falsetto_group,non_mix,0.982331,0.582331
English#EN-Alto-2#Mixed_Voice_and_Falsetto#All of Me#Falsetto_Group#0004,EN-Alto-2,All of Me,Falsetto_Group,falsetto_group,non_mix,0.982301,0.582301
English#EN-Alto-2#Mixed_Voice_and_Falsetto#You Belong With Me#Falsetto_Group#0003,EN-Alto-2,You Belong With Me,Falsetto_Group,falsetto_group,non_mix,0.982291,0.582291
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Seasons of Love#Falsetto_Group#0003,EN-Alto-2,Seasons of Love,Falsetto_Group,falsetto_group,non_mix,0.982226,0.582226
English#EN-Alto-2#Mixed_Voice_and_Falsetto#The Show#Control_Group#0001,EN-Alto-2,The Show,Control_Group,control_negative,non_mix,0.982124,0.582124
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Try#Falsetto_Group#0002,EN-Alto-2,Try,Falsetto_Group,falsetto_group,non_mix,0.982016,0.582016
English#EN-Alto-2#Pharyngeal#Yesterday Once More#Pharyngeal_Group#0007,EN-Alto-2,Yesterday Once More,Pharyngeal_Group,other_negative,non_mix,0.981955,0.581955
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Try#Control_Group#0001,EN-Alto-2,Try,Control_Group,control_negative,non_mix,0.981809,0.581809
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Hey Jude#Falsetto_Group#0009,EN-Alto-2,Hey Jude,Falsetto_Group,falsetto_group,non_mix,0.981337,0.581337
English#EN-Alto-2#Pharyngeal#Yesterday Once More#Pharyngeal_Group#0003,EN-Alto-2,Yesterday Once More,Pharyngeal_Group,other_negative,non_mix,0.981195,0.581195
English#EN-Alto-2#Pharyngeal#Someone Like You#Pharyngeal_Group#0001,EN-Alto-2,Someone Like You,Pharyngeal_Group,other_negative,non_mix,0.981165,0.581165
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Easy On Me#Falsetto_Group#0001,EN-Alto-2,Easy On Me,Falsetto_Group,falsetto_group,non_mix,0.980938,0.580938
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Seasons of Love#Control_Group#0001,EN-Alto-2,Seasons of Love,Control_Group,control_negative,non_mix,0.980932,0.580932
English#EN-Alto-2#Mixed_Voice_and_Falsetto#My Heart Will Go On#Control_Group#0004,EN-Alto-2,My Heart Will Go On,Control_Group,control_negative,non_mix,0.980873,0.580873
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Let It Go#Falsetto_Group#0001,EN-Alto-2,Let It Go,Falsetto_Group,falsetto_group,non_mix,0.980807,0.580807
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Cry on My Shoulder#Falsetto_Group#0001,EN-Alto-2,Cry on My Shoulder,Falsetto_Group,falsetto_group,non_mix,0.98066,0.58066
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Yesterday Once More#Control_Group#0006,EN-Alto-2,Yesterday Once More,Control_Group,control_negative,non_mix,0.980621,0.580621
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Hello#Falsetto_Group#0005,EN-Alto-2,Hello,Falsetto_Group,falsetto_group,non_mix,0.980483,0.580483
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Someone Like You#Falsetto_Group#0005,EN-Alto-2,Someone Like You,Falsetto_Group,falsetto_group,non_mix,0.980254,0.580254
English#EN-Alto-2#Pharyngeal#Love Story#Pharyngeal_Group#0000,EN-Alto-2,Love Story,Pharyngeal_Group,other_negative,non_mix,0.98024,0.58024
English#EN-Alto-2#Mixed_Voice_and_Falsetto#My Love#Control_Group#0004,EN-Alto-2,My Love,Control_Group,control_negative,non_mix,0.980217,0.580217
English#EN-Alto-2#Breathy#Love Story#Breathy_Group#0001,EN-Alto-2,Love Story,Breathy_Group,breathy_group,non_mix,0.980179,0.580179
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Hello#Falsetto_Group#0007,EN-Alto-2,Hello,Falsetto_Group,falsetto_group,non_mix,0.979967,0.579967
English#EN-Alto-2#Glissando#You Raise Me Up#Glissando_Group#0004,EN-Alto-2,You Raise Me Up,Glissando_Group,other_negative,non_mix,0.979656,0.579656
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Someone You Loved#Control_Group#0001,EN-Alto-2,Someone You Loved,Control_Group,control_negative,non_mix,0.979631,0.579631
English#EN-Alto-2#Pharyngeal#A Thousand Years#Pharyngeal_Group#0001,EN-Alto-2,A Thousand Years,Pharyngeal_Group,other_negative,non_mix,0.979526,0.579526
English#EN-Alto-2#Pharyngeal#My Heart Will Go On#Pharyngeal_Group#0009,EN-Alto-2,My Heart Will Go On,Pharyngeal_Group,other_negative,non_mix,0.979408,0.579408
English#EN-Alto-2#Breathy#Young And Beautiful#Breathy_Group#0000,EN-Alto-2,Young And Beautiful,Breathy_Group,breathy_group,non_mix,0.979348,0.579348
English#EN-Alto-2#Mixed_Voice_and_Falsetto#City Of Stars#Control_Group#0003,EN-Alto-2,City Of Stars,Control_Group,control_negative,non_mix,0.979283,0.579283
English#EN-Alto-2#Pharyngeal#Young And Beautiful#Pharyngeal_Group#0002,EN-Alto-2,Young And Beautiful,Pharyngeal_Group,other_negative,non_mix,0.978963,0.578963
English#EN-Alto-2#Pharyngeal#Love Me Like You Do#Pharyngeal_Group#0001,EN-Alto-2,Love Me Like You Do,Pharyngeal_Group,other_negative,non_mix,0.978855,0.578855
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Love Story#Falsetto_Group#0001,EN-Alto-2,Love Story,Falsetto_Group,falsetto_group,non_mix,0.978761,0.578761
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Hello#Falsetto_Group#0001,EN-Alto-2,Hello,Falsetto_Group,falsetto_group,non_mix,0.978707,0.578707
English#EN-Alto-2#Pharyngeal#Easy On Me#Pharyngeal_Group#0006,EN-Alto-2,Easy On Me,Pharyngeal_Group,other_negative,non_mix,0.978631,0.578631
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Yesterday Once More#Control_Group#0000,EN-Alto-2,Yesterday Once More,Control_Group,control_negative,non_mix,0.978624,0.578624
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Hello#Control_Group#0009,EN-Alto-2,Hello,Control_Group,control_negative,non_mix,0.978471,0.578471
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Try#Control_Group#0003,EN-Alto-2,Try,Control_Group,control_negative,non_mix,0.978172,0.578172
English#EN-Alto-2#Mixed_Voice_and_Falsetto#You Belong With Me#Falsetto_Group#0002,EN-Alto-2,You Belong With Me,Falsetto_Group,falsetto_group,non_mix,0.978068,0.578068
English#EN-Alto-2#Mixed_Voice_and_Falsetto#All of Me#Control_Group#0002,EN-Alto-2,All of Me,Control_Group,control_negative,non_mix,0.977969,0.577969
English#EN-Alto-2#Mixed_Voice_and_Falsetto#You Raise Me Up#Falsetto_Group#0001,EN-Alto-2,You Raise Me Up,Falsetto_Group,falsetto_group,non_mix,0.977893,0.577893
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Five Hundred Miles#Control_Group#0005,EN-Alto-2,Five Hundred Miles,Control_Group,control_negative,non_mix,0.977751,0.577751
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Lemon Tree#Control_Group#0001,EN-Alto-2,Lemon Tree,Control_Group,control_negative,non_mix,0.977219,0.577219
English#EN-Alto-2#Mixed_Voice_and_Falsetto#This Is Me#Falsetto_Group#0000,EN-Alto-2,This Is Me,Falsetto_Group,falsetto_group,non_mix,0.976978,0.576978
English#EN-Alto-2#Mixed_Voice_and_Falsetto#My Heart Will Go On#Control_Group#0007,EN-Alto-2,My Heart Will Go On,Control_Group,control_negative,non_mix,0.976919,0.576919
English#EN-Alto-2#Pharyngeal#My Heart Will Go On#Pharyngeal_Group#0007,EN-Alto-2,My Heart Will Go On,Pharyngeal_Group,other_negative,non_mix,0.976919,0.576919
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Five Hundred Miles#Falsetto_Group#0002,EN-Alto-2,Five Hundred Miles,Falsetto_Group,falsetto_group,non_mix,0.976769,0.576769
English#EN-Alto-2#Mixed_Voice_and_Falsetto#What Are Words#Falsetto_Group#0000,EN-Alto-2,What Are Words,Falsetto_Group,falsetto_group,non_mix,0.976757,0.576757
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Hello#Falsetto_Group#0011,EN-Alto-2,Hello,Falsetto_Group,falsetto_group,non_mix,0.976551,0.576551
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Hey Jude#Control_Group#0005,EN-Alto-2,Hey Jude,Control_Group,control_negative,non_mix,0.976543,0.576543
English#EN-Alto-2#Pharyngeal#Someone Like You#Pharyngeal_Group#0010,EN-Alto-2,Someone Like You,Pharyngeal_Group,other_negative,non_mix,0.97651,0.57651
English#EN-Alto-2#Mixed_Voice_and_Falsetto#City Of Stars#Control_Group#0011,EN-Alto-2,City Of Stars,Control_Group,control_negative,non_mix,0.976326,0.576326
English#EN-Alto-2#Pharyngeal#Someone You Loved#Pharyngeal_Group#0003,EN-Alto-2,Someone You Loved,Pharyngeal_Group,other_negative,non_mix,0.976308,0.576308
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Seasons of Love#Control_Group#0002,EN-Alto-2,Seasons of Love,Control_Group,control_negative,non_mix,0.976184,0.576184
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Cry on My Shoulder#Falsetto_Group#0003,EN-Alto-2,Cry on My Shoulder,Falsetto_Group,falsetto_group,non_mix,0.976174,0.576174
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Yesterday Once More#Control_Group#0007,EN-Alto-2,Yesterday Once More,Control_Group,control_negative,non_mix,0.976094,0.576094
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Easy On Me#Falsetto_Group#0005,EN-Alto-2,Easy On Me,Falsetto_Group,falsetto_group,non_mix,0.976058,0.576058
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Dream It Possible#Falsetto_Group#0005,EN-Alto-2,Dream It Possible,Falsetto_Group,falsetto_group,non_mix,0.975827,0.575827
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Someone Like You#Mixed_Voice_Group#0010,EN-Alto-2,Someone Like You,Mixed_Voice_Group,other_negative,non_mix,0.975571,0.575571
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Let Her Go#Falsetto_Group#0003,EN-Alto-2,Let Her Go,Falsetto_Group,falsetto_group,non_mix,0.975451,0.575451
English#EN-Alto-2#Mixed_Voice_and_Falsetto#A Thousand Years#Control_Group#0002,EN-Alto-2,A Thousand Years,Control_Group,control_negative,non_mix,0.97512,0.57512
English#EN-Alto-2#Breathy#Love Me Like You Do#Breathy_Group#0001,EN-Alto-2,Love Me Like You Do,Breathy_Group,breathy_group,non_mix,0.974886,0.574886
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Cry on My Shoulder#Control_Group#0000,EN-Alto-2,Cry on My Shoulder,Control_Group,control_negative,non_mix,0.974692,0.574692
English#EN-Alto-2#Mixed_Voice_and_Falsetto#My Love#Falsetto_Group#0000,EN-Alto-2,My Love,Falsetto_Group,falsetto_group,non_mix,0.974488,0.574488
English#EN-Alto-2#Breathy#Love Me Like You Do#Breathy_Group#0000,EN-Alto-2,Love Me Like You Do,Breathy_Group,breathy_group,non_mix,0.974197,0.574197
English#EN-Alto-2#Pharyngeal#Young And Beautiful#Pharyngeal_Group#0001,EN-Alto-2,Young And Beautiful,Pharyngeal_Group,other_negative,non_mix,0.973939,0.573939
English#EN-Alto-2#Mixed_Voice_and_Falsetto#You Belong With Me#Falsetto_Group#0000,EN-Alto-2,You Belong With Me,Falsetto_Group,falsetto_group,non_mix,0.973786,0.573786
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Safe and Sound#Control_Group#0006,EN-Alto-2,Safe and Sound,Control_Group,control_negative,non_mix,0.973748,0.573748
English#EN-Alto-2#Pharyngeal#You Raise Me Up#Pharyngeal_Group#0001,EN-Alto-2,You Raise Me Up,Pharyngeal_Group,other_negative,non_mix,0.973593,0.573593
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Hello#Control_Group#0011,EN-Alto-2,Hello,Control_Group,control_negative,non_mix,0.973526,0.573526
English#EN-Alto-2#Pharyngeal#Love Story#Pharyngeal_Group#0002,EN-Alto-2,Love Story,Pharyngeal_Group,other_negative,non_mix,0.97314,0.57314
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Hello#Control_Group#0000,EN-Alto-2,Hello,Control_Group,control_negative,non_mix,0.97293,0.57293
English#EN-Alto-2#Pharyngeal#Someone You Loved#Pharyngeal_Group#0004,EN-Alto-2,Someone You Loved,Pharyngeal_Group,other_negative,non_mix,0.972529,0.572529
English#EN-Alto-2#Mixed_Voice_and_Falsetto#The Show#Falsetto_Group#0003,EN-Alto-2,The Show,Falsetto_Group,falsetto_group,non_mix,0.972494,0.572494
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Try#Falsetto_Group#0000,EN-Alto-2,Try,Falsetto_Group,falsetto_group,non_mix,0.972494,0.572494
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Someone You Loved#Falsetto_Group#0002,EN-Alto-2,Someone You Loved,Falsetto_Group,falsetto_group,non_mix,0.972282,0.572282
English#EN-Alto-2#Mixed_Voice_and_Falsetto#The Show#Falsetto_Group#0001,EN-Alto-2,The Show,Falsetto_Group,falsetto_group,non_mix,0.972176,0.572176
English#EN-Alto-2#Pharyngeal#Dream It Possible#Pharyngeal_Group#0000,EN-Alto-2,Dream It Possible,Pharyngeal_Group,other_negative,non_mix,0.972022,0.572022
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Safe and Sound#Falsetto_Group#0005,EN-Alto-2,Safe and Sound,Falsetto_Group,falsetto_group,non_mix,0.971892,0.571892
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Hey Jude#Falsetto_Group#0001,EN-Alto-2,Hey Jude,Falsetto_Group,falsetto_group,non_mix,0.971868,0.571868
English#EN-Alto-2#Breathy#Young And Beautiful#Breathy_Group#0004,EN-Alto-2,Young And Beautiful,Breathy_Group,breathy_group,non_mix,0.971747,0.571747
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Hey Jude#Falsetto_Group#0002,EN-Alto-2,Hey Jude,Falsetto_Group,falsetto_group,non_mix,0.971319,0.571319
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Easy On Me#Falsetto_Group#0006,EN-Alto-2,Easy On Me,Falsetto_Group,falsetto_group,non_mix,0.971135,0.571135
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Five Hundred Miles#Falsetto_Group#0001,EN-Alto-2,Five Hundred Miles,Falsetto_Group,falsetto_group,non_mix,0.97088,0.57088
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Call Me Maybe#Control_Group#0004,EN-Alto-2,Call Me Maybe,Control_Group,control_negative,non_mix,0.970628,0.570628
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Let It Go#Falsetto_Group#0000,EN-Alto-2,Let It Go,Falsetto_Group,falsetto_group,non_mix,0.97059,0.57059
English#EN-Alto-2#Pharyngeal#Someone You Loved#Pharyngeal_Group#0001,EN-Alto-2,Someone You Loved,Pharyngeal_Group,other_negative,non_mix,0.970544,0.570544
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Hello#Falsetto_Group#0010,EN-Alto-2,Hello,Falsetto_Group,falsetto_group,non_mix,0.970414,0.570414
English#EN-Alto-2#Vibrato#Easy On Me#Control_Group#0007,EN-Alto-2,Easy On Me,Control_Group,control_negative,non_mix,0.970381,0.570381
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Cry on My Shoulder#Falsetto_Group#0006,EN-Alto-2,Cry on My Shoulder,Falsetto_Group,falsetto_group,non_mix,0.969864,0.569864
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Easy On Me#Control_Group#0004,EN-Alto-2,Easy On Me,Control_Group,control_negative,non_mix,0.969822,0.569822
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Love Me Like You Do#Falsetto_Group#0005,EN-Alto-2,Love Me Like You Do,Falsetto_Group,falsetto_group,non_mix,0.969725,0.569725
English#EN-Alto-2#Pharyngeal#You Raise Me Up#Pharyngeal_Group#0006,EN-Alto-2,You Raise Me Up,Pharyngeal_Group,other_negative,non_mix,0.969535,0.569535
English#EN-Alto-2#Mixed_Voice_and_Falsetto#Hello#Control_Group#0008,EN-Alto-2,Hello,Control_Group,control_negative,non_mix,0.96932,0.56932
English#EN-Alto-2#Mixed_Voice_and_Falsetto#This Is Me#Control_Group#0004,EN-Alto-2,This Is Me,Control_Group,control_negative,non_mix,0.969314,0.569314
